--------- beginning of system
09-17 11:10:23.585  1469  1501 E storaged: getDiskStats failed with result NOT_SUPPORTED and size 0
--------- beginning of main
09-17 11:10:23.669  4945  4945 I appproc : app_process main with argv: /system/bin com.android.commands.input.Input tap 952 795 
09-17 11:10:23.669  4945  4945 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
09-17 11:10:23.672  4945  4945 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:37.564  6882  6882 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:37.564  6882  6882 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:37.570  7019  7019 D su      : sending code
09-17 11:10:37.574  6981  6981 D su      : child exited
09-17 11:10:37.575  6989  6989 D su      : client exited 1
09-17 11:10:37.588  7039  7039 D su      : client exited 1
09-17 11:10:37.591  6882  6882 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:37.595  7007  7007 D su      : client exited 1
09-17 11:10:37.605  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:37.605  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:37.605  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:37.605  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:37.605  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:37.605  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:37.605  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:37.605  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:37.605  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:37.605  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:37.605  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:37.605  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:37.606  6882  6882 D AndroidRuntime: Shutting down VM
09-17 11:10:37.608  6995  6995 D su      : Allowing shell.
09-17 11:10:37.609  7023  7023 D su      : client exited 1
09-17 11:10:37.625  7043  7043 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962800 count=4 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.643  7044  7044 D su      : sending code
09-17 11:10:37.645  7012  7012 D su      : child exited
09-17 11:10:37.655  7022  7022 D su      : child exited
09-17 11:10:37.661  7045  7045 D su      : sending code
09-17 11:10:37.676  7051  7051 D su      : sending code
09-17 11:10:37.677  6846  6846 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:37.677  6846  6846 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:37.679  7052  7052 D su      : child exited
09-17 11:10:37.681  7054  7054 D su      : sending code
09-17 11:10:37.696  7050  7050 D su      : child exited
09-17 11:10:37.697  6846  6846 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:37.716  7058  7058 D su      : client exited 1
09-17 11:10:37.721  7059  7059 D su      : sending code
09-17 11:10:37.725  7038  7038 D su      : child exited
09-17 11:10:37.737  7061  7061 D su      : client exited 1
09-17 11:10:37.741  7056  7056 D su      : child exited
09-17 11:10:37.744  6970  6970 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:37.744  6970  6970 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:37.745  6936  6936 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:37.745  6936  6936 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:37.753  6985  6985 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:37.753  6985  6985 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:37.757  7055  7055 D su      : client exited 1
09-17 11:10:37.757  6934  6934 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:37.759  6936  6936 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:37.760  6970  6970 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:37.761  7062  7062 D su      : sending code
09-17 11:10:37.764  6985  6985 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:37.765  6934  6934 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:37.766  7057  7057 D su      : child exited
09-17 11:10:37.773  7053  7053 D su      : client exited 1
09-17 11:10:37.778  6846  6846 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:37.779  6884  6884 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:37.779  6884  6884 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:37.779  6824  6824 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:37.779  6824  6824 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:37.780  7063  7063 D su      : child exited
09-17 11:10:37.780  6884  6884 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:37.782  6824  6824 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:37.782  7060  7060 D su      : child exited
09-17 11:10:37.785  7065  7065 D su      : sending code
09-17 11:10:37.785  6934  6934 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:37.785  7049  7049 D su      : client exited 1
09-17 11:10:37.786  6846  6846 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:37.794  6900  6900 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:37.795  6900  6900 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:37.799  6970  6970 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:37.800  6936  6936 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:37.801  7064  7064 D su      : client exited 1
09-17 11:10:37.804  6985  6985 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:37.806  6900  6900 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:37.807  6884  6884 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:37.807  7067  7067 D su      : client exited 1
09-17 11:10:37.811  6936  6936 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:37.811  6970  6970 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:37.815  7066  7066 D su      : child exited
09-17 11:10:37.821  6884  6884 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:37.828  6985  6985 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:37.828  6934  6934 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:37.840  6934  6934 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:37.862  6824  6824 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:37.868  6824  6824 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:37.879  6900  6900 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:37.887  6934  6934 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:37.888  6934  6934 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:37.888  6900  6900 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:37.888  6934  6934 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:37.888  6934  6934 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:37.888  6934  6934 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:37.895  6846  6846 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:37.895  6846  6846 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:37.895  6846  6846 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:37.895  6846  6846 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:37.895  6846  6846 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:37.899  6970  6970 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:37.899  6970  6970 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:37.899  6970  6970 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:37.899  6970  6970 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:37.899  6970  6970 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:37.903  6884  6884 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:37.904  6884  6884 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:37.905  6884  6884 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:37.905  6884  6884 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:37.905  6884  6884 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:37.914  6985  6985 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:37.915  6985  6985 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:37.915  6985  6985 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:37.915  6985  6985 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:37.915  6985  6985 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:37.927  6934  6934 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:37.930  6985  6985 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:37.933  6846  6846 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:37.937  6970  6970 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:37.940  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:37.940  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:37.940  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:37.940  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:37.940  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:37.940  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:37.940  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:37.940  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:37.940  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:37.940  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:37.940  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:37.940  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:37.941  6936  6936 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:37.941  6934  6934 D AndroidRuntime: Shutting down VM
09-17 11:10:37.941  6936  6936 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:37.942  6936  6936 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:37.942  6936  6936 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:37.942  6936  6936 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:37.943  7086  7086 D su      : su invoked.
09-17 11:10:37.950  6934  7115 W /system/bin/app_process: Thread attaching while runtime is shutting down: Binder:6934_2
09-17 11:10:37.950  6934  7115 I AndroidRuntime: NOTE: attach of thread 'Binder:6934_2' failed
09-17 11:10:37.958  6884  6884 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:37.958  6824  6824 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:37.961  6824  6824 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:37.964  7099  7099 D su      : su invoked.
09-17 11:10:37.979  6824  6824 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:37.979  6824  6824 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:37.979  6824  6824 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:37.980  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:37.980  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:37.980  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:37.980  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:37.980  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:37.980  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:37.980  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:37.980  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:37.980  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:37.980  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:37.980  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:37.980  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:37.980  7126  7126 D su      : starting daemon client 2000 0
09-17 11:10:37.981  6846  6846 D AndroidRuntime: Shutting down VM
09-17 11:10:37.985  7118  7118 D su      : starting daemon client 2000 0
09-17 11:10:37.993  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:37.993  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:37.993  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
